ASIN,bookDescription
0143460242,"Most expectant mothers talk to their unborn. But what if the unborn starts to respond?

Mahika is hoping that a baby will breathe new life into her dead marriage. But all her pregnancies meet the same fate, because no baby is perfect for Shivam, her genius geneticist husband. Until there is one. Rudra, the world's first genetically altered foetus, is Shivam's perfect creation and Mahika's last hope.

The six-week-pregnant Mahika has just walked into her fertility clinic when she discovers an anonymous note that discloses the ugly truth behind her pregnancy. Before Mahika can come to terms with the fact that her husband's quest for perfection has marked its territory in her womb, she finds herself locked in her own house. But then she discovers that her unborn son has extraordinary powers. As weeks pass by, Rudra calibrates and recalibrates his powers with one aim-Mahika's freedom.

But Rudra needs more than his newly acquired powers to free his mother. He needs to betray his creator, his father. And he must do it before it's too late."
9358561661,"The Time Machine by H.G. Wells is a classic science fiction novel that takes readers on a thrilling journey through time. As the Time Traveller explores the future, he encounters dystopian societies and grapples with the profound implications of human evolution.


Embark on an extraordinary time-travel adventure with H.G. Wells.
Explore fascinating future worlds and dystopian societies.
Witness the implications of human evolution and societal decay.
Engage with thought-provoking questions about the nature of humanity.
Experience the brilliance of H.G. Wells’ visionary storytelling."
9354406246,"When you hear things in the dark
silence of the night, you know what
it means—they are watching you.
The moment you are vulnerable,
that’s when they will strike.
Why, you ask? Because you are alive.
From the author of the bestselling Ghosts of the Silent Hills, comes another collection of chilling horror stories based on true events. Encased in Ghosts in the Dark Silence are five stories that will petrify even the bravest of the brave. Some stories are gruesome and bizarre, others softly creep up on you and pull you in.
The beautiful dream-house of a newly-wed couple slowly turns into their worst nightmare, malevolent spirits prance around to prey on the living, naïve youngsters are lured into the world of tantriks and black magic, and even simple games turn out to be dangerous and life-threatening.
What will become of the people in these stories? They can pray. They can run. They can fight. But do they stand a chance against something that’s not even of this world?"
1444775812,"The million-copy bestselling phenomenon, Fredrik Backman's heartwarming debut is a funny, moving, uplifting tale of love and community that will leave you with a spring in your step. Perfect for fans of Rachel Joyce's The Unlikely Pilgrimage of Harold Fry, Graeme Simsion's The Rosie Project and David Nicholl's US. New York Times bestseller'Warm, funny, and almost unbearably moving' Daily Mail'Rescued all those men who constantly mean to read novels but never get round to it' Spectator Books of the YearAt first sight, Ove is almost certainly the grumpiest man you will ever meet. He thinks himself surrounded by idiots - neighbours who can't reverse a trailer properly, joggers, shop assistants who talk in code, and the perpetrators of the vicious coup d'etat that ousted him as Chairman of the Residents' Association. He will persist in making his daily inspection rounds of the local streets. But isn't it rare, these days, to find such old-fashioned clarity of belief and deed? Such unswerving conviction about what the world should be, and a lifelong dedication to making it just so?In the end, you will see, there is something about Ove that is quite irresistible. . ."
0143458280,"Perfect gift for fans of Harry Potter and Immortals of Meluha, Samsara by Penguin editor-turned-author Saksham Garg is a mythological fantasy novel with a powerful twist ending.

What if you came face to face with the gods?
Phones stop working. Smartwatches die. And arms start glowing with blue scars. This is what happens to Aman Chandra and ten other Souls of Samsara when they are kidnapped from modern-day India and transported to a hidden valley in the Himalayas. In this realm of magic, home to Hindu gods, immortal yogis and mythical beasts, the mission is clear for the Souls of Samsara: to learn the ancient art of yogic sorcery and prepare for a treacherous journey not many can survive.

But why must they go on this journey? And how are the gods connected to it all?

Before they get any answers, the Souls of Samsara realize that there is a larger scheme at play. The king of the gods has passed a controversial order. And Aman must make a tough decision that will change not just his life but the fate of an entire nation . . ."
147118501X,"*** If you read The Little Coffee Shop of Kabul and enjoyed The Beekeeper of Aleppo, you will love The Stationery Shop of Tehran ***

1953, Tehran. In a small shop in a country on the brink of unrest, two people meet for the very first time.

Roya loves nothing better than to while away the hours in the stationery shop run by Mr Fakhri. The store, stocked with fountain pens, shiny ink bottles, and thick wads of writing paper, also carries translations of literature from all over the world. Bahman, with his burning passion for justice, is like no one else she has ever met.

But all around them, as their relationship blossoms, life in Tehran is changing.

Suddenly, shockingly, violence erupts: a coup d'etat that forever changes their country's future, as well as their own.

Marjan Kamali's beautiful novel explores themes of love and loss, and delivers an unforgettable ending. 

?An enchanting romance? 
MY WEEKLY

?Simultaneously briskly paced and deeply moving, this will appeal to fans of Khaled Hosseini and should find a wide audience?
BOOKLIST

?Evocative, devastating, and hauntingly beautiful? This book broke my heart again and again?
Whitney Scharer, author of THE AGE OF LIGHT

?What a pleasure ? a novel that is all at once masterfully plotted, beautifully written, and populated by characters who are arresting, lovable and so real?
Elinor Lipman, author of TURPENTINE LANE

?A beautiful and sensitive novel that I loved from the first page?
Alyson Richman, international bestselling author of THE LOST WIFE

?A beautifully immersive tale ? brings to life a lost and complex world and the captivating characters who once called it home?
Jasmin Darznik, New York Times bestselling author of THE GOOD DAUGHTER and SONG OF A CAPTIVE BIRD

?A sweeping romantic tale of thwarted love?
KIRKUS REVIEWS

?The unfurling stories? will stun readers? For those who enjoy getting caught up in romance while discovering unfamiliar history of another country?
LIBRARY JOURNAL

?Grab your tissues'
BOSTON MAGAZINE

?A tender story of enduring love.?
MINNEAPOLIS STAR TRIBUNE

?I! Am! Obsessed! With! This! Book!?
COSMOPOLITAN.COM"
140593025X,"The funny, touching and unpredictable No. 1 New York Times bestseller, now a major Netflix TV series

'A brilliant and comforting read' MATT HAIG
'Funny, compassionate and wise. An absolute joy' A.J. PEARCE
'A surefooted insight into the absurdity, beauty and ache of life' GUARDIAN
'I laughed, I sobbed, I recommended it to literally everyone I know' BUZZFEED
'Captures the messy essence of being human' WASHINGTON POST

From the 15 million copy internationally bestselling author of A Man Called Ove
_______

It's New Year's Eve and House Tricks estate agents are hosting an open viewing in an up-market apartment when an incompetent bank robber rushes in and politely takes everyone hostage.

For Anna-Lena and Roger, busy buying-up apartments to fill the hole in their marriage, it's something else to talk about.

For Julia and Ro, panicky parents-to-be, it's yet another worry.

Lonely bank manager Zara only came here for the view.

While 87-year-old grandmother Estelle seems rather pleased by the company . . .

As the police gather outside, the anxious strangers huddled within try to make the best of a very sticky situation - but could it be that they have a whole lot more in common than meets the eye?
_______

Readers are loving Anxious People!

'Backman never disappoints . . . heartwarming and multi layered' 5***** READER REVIEW

'As always Backman manages to delight . . . a really satisfying ending that makes you feel better about the world' 5***** READER REVIEW

'A wonderfully unusual tale, told with flair and finesse that is so wonderful it is sure to cure everything that ails you. Don't miss out on this beautiful book' 5***** READER REVIEW

'This novel is about humanity at its most raw and at its most wonderful and I LOVED it!' 5***** READER REVIEW"
8172344430,"Embark on a side-splitting journey along the River Thames with Three Men In A Boat by Jerome K. Jerome. Join three bumbling friends as they navigate mishaps, comedic situations, and eccentric characters in this timeless and uproarious classic.

A hilarious river adventure!


Jerome K. Jerome's uproarious tale of a boating expedition
Hilarious misadventures and comic escapades along the River Thames
Memorable characters and witty observations that will leave you in stitches
A humorous and lighthearted read for fans of classic comedy
A delightful blend of satire, wit, and picturesque descriptions"
1035035057,"The million-copy bestselling series

Toshikazu Kawaguchi’s moving Before the Coffee Gets Cold, translated from Japanese by Geoffrey Trousselot, explores the age-old question: what would you do if you could travel back in time? More importantly, who would you want to meet, maybe for one last time?

In a small back alley in Tokyo, there is a cafe which has been serving carefully brewed coffee for more than one hundred years. But this coffee shop offers its customers a unique experience: the chance to travel back in time.

In Before the Coffee Gets Cold, we meet four visitors, each of whom is hoping to make use of the cafe’s time-travelling offer, in order to: confront the man who left them, receive a letter from their husband whose memory has been taken by early onset Alzheimer's, see their sister one last time, and meet the daughter they never got the chance to know.

But the journey into the past does not come without risks: customers must sit in a particular seat, they cannot leave the cafe, and finally, they must return to the present before the coffee gets cold . . ."
0008536694,RedMade in ChelseaHeatMeet Kitty Collins.FRIEND. LOVER. KILLER.
0143464523,"Sometimes the truth kills. . .

Newlyweds Tricia and Ethan are searching for the house of their dreams. They think they’ve found it in the remote manor that once belonged to Dr. Adrienne Hale, a renowned psychiatrist who years ago vanished without a trace.

When a violent winter storm traps them at the estate, the house begins to lose its appeal.

Stuck inside, Tricia finds a collection of audio transcripts from Dr. Halea’s sessions with patients. As Tricia starts listening to what isn’t meant for her, she learns of the terrifying events around the doctor’s mysterious disappearance.

With each tape, every shocking piece of the puzzle falls into place, but by the time Tricia reaches the final cassette, it will be too late!

From New York Times bestselling author Freida McFadden comes an addictive, unpredictable thriller that will keep you asking the question: What is the truth?"
1848126476,"THE NO 1 NEW YORK TIMES BESTSELLER AND NEWBERY MEDAL WINNER 'This beautifully written, darkly funny coming-of-age story will enchant and entertain' Daily Mail Every year, the people of the Protectorate leave a baby as an offering to the witch who lives in the forest. They hope this sacrifice will keep her from terrorizing their town. But the witch in the Forest, Xan, is in fact a good witch who shares her home with a wise Swamp Monster and a Perfectly Tiny Dragon. Xan rescues the children and delivers them to welcoming families on the other side of the forest, nourishing the babies with starlight on the journey. One year, Xan accidentally feeds a baby moonlight instead of starlight, filling the ordinary child with extraordinary magic. Xan decides she must raise this girl, whom she calls Luna, as her own. As Luna's thirteenth birthday approaches, her magic begins to emerge - with dangerous consequences. Meanwhile, a young man from the Protectorate is determined to free his people by killing the witch. Deadly birds with uncertain intentions flock nearby. A volcano, quiet for centuries, rumbles just beneath the earth's surface. And the woman with the Tiger's heart is on the prowl . . . The Newbery Medal winner from the author of the highly acclaimed novel The Witch's Boy."
9356294496,"Do you know the story where Brahma and Vishnu race against each other or where Shiva battles Krishna? Where Indra attempts foeticide ? Do you know about Maya Sita or Narada's monkey face? Or why Surya falls from the sky or why Chandra commits adultery?

The Puranas of Hinduism are a universe of wisdom, embodying a fundamental quest for answers that makes them forever relevant. Now, for the first time, 100 of the greatest mythological tales from these ancient texts have been handpicked and compiled into an epic illustrated edition. Besides popular legends of devas, asuras, sages and kings, Satyarth Nayak has dug up lesser-known stories, like the one where Vishnu is beheaded or where Saraswati curses Lakshmi or where Harishchandra tricks Varuna. Nayak also recounts these 100 tales in a unique chronological format, beginning with Creation in Satya Yuga and ending with the advent of Kali Yuga. Using Puranic markers, he constructs a narrative that travels through the four yugas, offering continuous and organic action. In such a reading, it is revealed that these stories are not isolated events but linked to each other in the grand scheme of things. That every occurrence has a past and a future. A cause and effect. An interconnected cycle of karma and karma-phal.

Delving into the minds of gods, demons and humans alike, Mahagatha seeks a deeper understanding of their motivations. The timelessness of their impulses speaks across the aeons to readers of today. Written in lively prose with charming illustrations, these 100 tales will entertain and enlighten, and make you connect the dots of Hindu mythology like never before."
9815204475,"“So long as you write what you wish to write, that is all that matters; and whether it matters for ages or only for hours, nobody can say.”

It’s the 20th century and Virginia Woolf is invited to speak to a roomful of young writers at a few colleges. She left the room and society at large perplexed with the thoughts she raised. Would Shakespeare’s sisters be given the same room to flourish if she had his skill sets? Can a women flourish if given the physical space to be by herself and ideate? Can a woman find a professional identity if not infrastructurally empowered? As a society do we allow this?

This book, although a work of fiction with a fictitious narrator and setting, is inspired by the lectures delivered by Woolf. As a revolutionary work, it remains poignant and relevant even today as we seemingly progress to an equal society but struggle with conditionings of gender roles. Despite its heavy subject, it’s an enjoyable, funny, sarcastic, and sensitive read; like a conversation with a dear friend."
1408726602,"Are you ready to stay up all night? Rebecca meets Gone Girl in this shocking, unpredictable thriller with a twist that will leave you reeling . . . The TikTok sensation from the author of It Ends With Us.Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish. Lowen arrives at the Crawford home, ready to sort through years of Verity's notes and outlines, hoping to find enough material to get her started. What Lowen doesn't expect to uncover in the chaotic office is an unfinished autobiography Verity never intended for anyone to read. Page after page of bone-chilling admissions, including Verity's recollection of the night their family was forever altered. Lowen decides to keep the manuscript hidden from Jeremy, knowing its contents would devastate the already-grieving father. But as Lowen's feelings for Jeremy begin to intensify, she recognizes all the ways she could benefit if he were to read his wife's words. After all, no matter how devoted Jeremy is to his injured wife, a truth this horrifying would make it impossible for him to continue loving her . . .200,000 READERS HAVE ALREADY GIVEN VERITY FIVE STARS'One of the best thrillers I have ever read' *****'Powerful, mind-blowing and emotional' *****'The plot twists and that ending came out of nowhere' *****'There are no words. Bravo' *****'Dark, creepy, and one hundred per cent original' *****'I NEEDED to know how this was going to end' *****'Left me completely speechless' *****"
0099558785,"** Available for pre-order, THE LINCOLN HIGHWAY, the dazzling new novel from Amor Towles **

Chosen for the Duchess of Cornwall's online book club The Reading Room

OVER A MILLION COPIES SOLD: a BBC Radio 4 Book Club choice, soon to be a major TV series starring Kenneth Branagh
_________________________
'A wonderful book' - Tana French

'This novel is astonishing, uplifting and wise. Don't miss it' - Chris Cleave

'No historical novel this year was more witty, insightful or original' - Sunday Times, Books of the Year

'[A] supremely uplifting novel ... It's elegant, witty and delightful - much like the Count himself.' - Mail on Sunday, Books of the Year

'Charming ... shows that not all books about Russian aristocrats have to be full of doom and nihilism' - The Times, Books of the Year
_________________________
On 21 June 1922, Count Alexander Rostov - recipient of the Order of Saint Andrew, member of the Jockey Club, Master of the Hunt - is escorted out of the Kremlin, across Red Square and through the elegant revolving doors of the Hotel Metropol.

Deemed an unrepentant aristocrat by a Bolshevik tribunal, the Count has been sentenced to house arrest indefinitely. But instead of his usual suite, he must now live in an attic room while Russia undergoes decades of tumultuous upheaval.

Can a life without luxury be the richest of all?
_________________________
A BOOK OF THE DECADE, 2010-2020 (INDEPENDENT)
THE TIMES BOOK OF THE YEAR 2017
A SUNDAY TIMES BOOK OF THE YEAR 2017
A MAIL ON SUNDAY BOOK OF THE YEAR 2017
A DAILY EXPRESS BOOK OF THE YEAR 2017
AN IRISH TIMES BOOK OF THE YEAR 2017
ONE OF BARACK OBAMA'S BEST BOOKS OF 2017
ONE OF BILL GATES'S SUMMER READS OF 2019
NOMINATED FOR THE 2018 INDEPENDENT BOOKSELLERS WEEK AWARD"
1035044862,"Set in an alternate day New York filled with monsters, The Wren in the Holly Library is a dark, spicy romantasy loosely inspired by Beauty and the Beast — perfect for fans of V.E. Schwab and Leigh Bardugo. She stole from a monster . . . now she must pay the price Street thief Kierse should have known something wasn’t right. Now she’s trapped in a library — with a monster. She can’t run. She can’t hide. And this man – this being, filled with terrible power and darkness — is well within his rights to kill her. By trespassing, Kierse has broken the fragile peace treaty between monsters and humans. But instead of killing her, Graves does the unexpected: he offers her a job. A chance to find out who she really is. Kierse has always known she’s different. That she can do things a little better, a little faster. And there’s that sense she has when danger is only a breath away. But if the old tales are true, there are worse things in the world than monsters. Like a threat more ancient than legend. Like Graves. Or like Kierse herself . . . From bestselling author K. A. Linde comes the start of an addictive dark romantasy series where monsters live among humandkind, and ancient secrets threaten to destroy everything . . ."
9351032183,"Thea Stilton and The Chocolate Sabotage (Thea Stilton #19) is the nineteenth book of the Thea Stilton series. This series, penned by Elisabetta Dami, the author of another extremely popular series called Geronimo Stilton, revolves around the Thea sisters and their interesting and intriguing adventures. In this book, Thea Stilton, who is the sister of Geronimo Stilton and the special correspondent of Mouse Island's favourite newspaper The Rodent Gazette, is visiting her friend who runs a chocolate factory in Ecuador. Thea is not alone on this sweet visit, for the other Thea sisters are accompanying her too. Unfortunately and quite suddenly, the factory begins to malfunction. Some bitterness has crept into the sweet times. Could it be someone's sabotage or is it just a minor glitch is the doubt caused in the mind of the factory owner. It is up to the Thea Sisters to get down to the bottom of all that bitterness and bring out the sweetness. Thea Stilton and The Chocolate Sabotage (Thea Stilton #19) was published by Scholastic India in 2014 and is available in paperback. Key Features: This book belongs to the widely popular children's series Thea Stilton. This series has been specially written by the author for young minds between the ages of 6 to 10 years. The books, with their lively artwork and simple language, make for an endearing read for the little ones."
935520650X,"Taken to be an idiot, the naïve Prince Myshkin visits his distant relative General Yepanchin and hopes to charm him, his wife and his three daughters, but his life changes drastically after he stumbles upon a photograph of Nastasya Filippovna. Deeply infatuated with her, he finds himself caught in a love triangle, which leads him into a web of blackmail, betrayal and finally, murder. Inspired by Christ’s suffering, Dostoyevsky portrays the Russian Holy Fool’s purity as of a ‘truly beautiful soul’ and navigates through the perils that innocence and goodness face in a corrupt world. The Idiot has been titled a classic beyond the temporal and spatial bounds."
0143454374,"A jealous psychopath hunting another serial killer to regain lost limelight.
A feisty young detective caught in the crossfire.
Can she end the carnage before she joins the body count?

Simone Singh, assistant superintendent of police, would rather spend her days locking up criminals than apologizing for her lack of social skills. And she refuses to let anyone stand in the way of her pursuit of the Doll Maker, a ruthless serial killer who dresses up little kids as Barbie dolls and displays their bodies in glass cases. But Simone knows that time is running out to piece together the clues as the Doll Maker has made it clear that the killings have only just begun . . .

Another serial killer, the Clipper, who enjoyed nine years of infamy as India's most notorious butcher, erupts into an all-consuming rage when he is cast aside by the media in favour of the sick new slayer-the Doll Maker. The Clipper turns his fury into blood-soaked revenge to capture the top spot. As corpses start to pile up, Simone fights to maneuver the Doll Maker into a clever trap. But the Clipper is hell-bent on striking first and regaining the crown with his most grisly murder yet.

Can Simone take down the two serial killers and stop the psychotic competition before it gets out of hand?

The Girl in the Glass Case is a jaw-dropping psychological crime thriller. If you like determined heroines, nail-biting twists and chilling serial murderers, then you'll love this rollercoaster ride.

Read The Girl in the Glass Case today to step into the arena of deadly competition!"
9356291934,"A cardboard box is found on a shelf of a London library where a copy of Mahabharata should have been. When the mystified librarian opens it, she screams before she falls unconscious to the floor. An elite group calling itself the Lashkar-e-Talatashar has scattered around the globe, the fate of its members curiously resembling that of Christ and his Apostles. Their agenda is Armageddon. In the labyrinthine recesses of the Vatican, a beautiful assassin swears she will eliminate all who do not believe in her twisted credo. In Tibet, Buddhist monks search for a reincarnation while in strife-torn Kashmir, a tomb called Rozabal holds the key to an ancient riddle. Father Vincent Sinclair, has disturbing visions of himself and of people familiar to him, except that they seem located in other ages. He goes to India to piece together the violent images burnt onto his mind. Shadowing his every move is a clandestine society, which would rather wipe out creation than allow an ancient secret to be disclosed."
9356292272,"The year is 340 BC. A hunted, haunted Brahmin youth vows revenge for the gruesome murder of his beloved father. Cold, calculating, cruel and armed with a complete absence of accepted morals, he becomes the most powerful political strategist in Bharat and succeeds in uniting a ragged country against the invasion of the army of that demigod, Alexander the Great. Pitting the weak edges of both forces against each other, he pulls off a wicked and astonishing victory and succeeds in installing Chandragupta on the throne of the mighty Mauryan empire.

History knows him as the brilliant strategist Chanakya. Satisfied-and a little bored-by his success as a kingmaker, through the simple summoning of his gifted mind, he recedes into the shadows to write his Arthashastra, the 'science of wealth'. But history, which exults in repeating itself, revives Chanakya two and a half millennia later, in the avatar of Gangasagar Mishra, a Brahmin teacher in smalltown India who becomes puppeteer to a host of ambitious individuals-including a certain slumchild who grows up into a beautiful and powerful woman.

Modern India happens to be just as riven as ancient Bharat by class hatred, corruption and divisive politics and this landscape is Gangasagar's feasting ground. Can this wily pandit-who preys on greed, venality and sexual deviance-bring about another miracle of a united India? Will Chanakya's chant work again? Ashwin Sanghi, the bestselling author of The Rozabal Line, brings you yet another historical spinechiller."
9356292396,"Five thousand years ago, there came to earth a magical being called Krishna, who brought about innumerable miracles for the good of mankind. Humanity despaired of its fate if the Blue God were to die but was reassured that he would return in a fresh avatar when needed in the eventual Dark Age-the Kaliyug.

In modern times, a poor little rich boy grows up believing that he is that final avatar.

Only, he is a serial killer.

In this heart-stopping tale, the arrival of a murderer who executes his gruesome and brilliantly thought-out schemes in the name of God is the first clue to a sinister conspiracy to expose an ancient secret-Krishna's priceless legacy to mankind.

Historian Ravi Mohan Saini must breathlessly dash from the submerged remains of Dwarka and the mysterious lingam of Somnath to the icy heights of Mount Kailash, in a quest to discover the cryptic location of Krishna's most prized possession. From the sand-washed ruins of Kalibangan to a Vrindavan temple destroyed by Aurangzeb, Saini must also delve into antiquity to prevent a gross miscarriage of justice.

Ashwin Sanghi brings you yet another exhaustively researched whopper of a plot, while providing an incredible alternative interpretation of the Vedic Age that will be relished by conspiracy buffs and thriller-addicts alike."
9391142176,"INDIA ON RED ALERT

CRISIS OF THE CENTURY

DEADLIEST ATTACK EVER PLANNED

When the enemy is lawless and notorious, you fall back on your rogue spy.

Adhira Shekhawat is a woman who can make the impossible happen. Devious, desirous and dangerous, she follows no rules and has no limits.

She, along with her international team of experts, she works tirelessly to bring down the enemies no one else would dare to engage.

When she is enlisted to take on a secret assignment, one that puts India at the greatest risk it has ever seen, she sets upon a dangerous path littered with betrayal, deception and death.

Will she be able to solve the mystery and stop this nefarious plan? Or will India see the worst attack it has ever witnessed in history?

Join Adhira and her team on this action-packed and thrilling mission today."
1501110365,"The newest, highly anticipated novel from beloved #1 New York Times bestselling author, Colleen Hoover. Sometimes it is the one who loves you who hurts you the most. Lily hasn?t always had it easy, but that's never stopped her from working hard for the life she wants. She?s come a long way from the small town in Maine where she grew up?she graduated from college, moved to Boston and started her own business. So when she feels a spark with a gorgeous neurosurgeon named Ryle Kincaid, everything in Lily?s life suddenly seems almost too good to be true. Ryle is assertive, stubborn, maybe even a little arrogant. He?s also sensitive, brilliant and has a total soft spot for Lily. And the way he looks in scrubs certainly doesn?t hurt. Lily can not get him out of her head. But Ryle?s complete aversion to relationships is disturbing. Even as Lily finds herself becoming the exception to his ?no dating? rule, she can not help but wonder what made him that way in the first place. As questions about her new relationship overwhelm her, so do thoughts of Atlas Corrigan?her first love and a link to the past she left behind. He was her kindred spirit, her protector. When Atlas suddenly reappears, everything Lily has built with Ryle is threatened. With this bold and deeply personal novel, Colleen Hoover delivers a heart-wrenching story that breaks exciting new ground for her as a writer. Combining a captivating romance with a cast of all-too-human characters, it ends with us is an unforgettable tale of love that comes at the ultimate price."
